Classification,TransientID
AGN,1607101350754138969
Blazar,1607091210014124380
CV,1607081690324112179
Blazar,1607081520484130475
SN,1607081400574107460
HPM,1607081090044127680
SN,1607081070814120009
SN,1607081070044111695
SN,1607081040824147654
Unknown,1607080121154133309
HPM,1607071380774156515
HPM,1607071320674128623
HPM,1607071290674126131
HPM,1607071210734117400
HPM,1607061380624103568
HPM,1607061121124101906
HPM,1607061011264118208
HPM,1607060181104115239
AGN?,1607060121174118737
HPM,1607060071214122888
CV,1607051090894117774
Flare,1607041211134127847
AGN,1607041211124111582
SN,1607041120794128732
AGN,1607041091204106148
SN,1607041090774131535
SN,1607041090764122295
Flare,1607041071204134191
CV,1607031320834188377
CV,1606171210684127504
SN,1606171181134127852
HPM,1606161630314107465
HPM,1606161600354121247
HPM,1606161320804161901
Blazar,1606161090634117514
HPM,1606160041244108573
Unknown,1606160041234104042
Flare,1606160041224106591
Flare,1606160041184142245
SN,1606151290034128793
SN,1606151210784125497
SN,1606151180914102935
SN,1606151180814106547
HPM,1606141570424135964
HPM,1606141490484110092
CV,1606141460534112713
CV,1606141430534127913
AGN,1606131550474124364
CV,1606131291074153778
HPM,1606081351044161455
Unknown,1606081151124152205
SN,1606081040754126106
Flare,1606081010804105155
SN,1606071570494121794
AGN,1606071230774110988
SN?,1606070040644119152
SN?,1606061180574115067
Flare,1606061120624122054
Flare,1606060121114112143
CV,1606051260564134509
SN,1606050120794145963
SN,1606050120724127473
SN,1606050010704121629
Merger/CV?,1606031430654136549
CV,1606031380684117420
HPM,1606021320634125249
SN,1606021320614118438
SN,1605311460454131367
HPM,1605311010714131873
CV,1605310070594119120
SN,1605301690314108377
SN,1605301550324118990
HPM,1605301490454126531
AGN,1605301490444110548
SN,1605301460394125395
HPM,1605291210524121961
SN,1605290070704139171
CV?,1605290010604136738
SN,1605281090554119624
SN,1605281010644131002
Flare,1605280150734147409
CV,1605280120874164002
SN,1605271430534116270
HPM,1605271380704109512
SN,1605271380674109645
CV,1605271350814117609
HPM,1605261290724127882
SN,1605261090714104635
SN,1605261070624105685
Flare,1605251490574133437
SN,1605251180784118560
HPM,1605161490534127874
HPM,1605141460674129301
SN,1605141460674128707
SN,1605141380524125850
HPM,1605141230764138402
AGN,1605141180724109433
AGN,1605131350694112265
SN,1605131260844127527
CV,1605131260834111193
HPM,1605111090684118380
SN,1605101211114154128
SN,1605101040804123978
SN,1605101010584124257
CV,1605091630384130020
HPM,1605090120884129891
SN,1605081630324133512
Blazar,1605081090764135686
SN,1605081070454144230
SN,1605061460484115097
SN,1605061430634121570
HPM,1605061430534141311
Flare,1605061430534126099
HPM,1605061350614117502
SN?,1605051150574104178
CV,1605050010854156077
Flare,1605031460374110588
Flare,1605031230594104988
SN,1605031230594100807
SN,1605031180584104729
Unknown,1605030230784167477
CV,1605030210794103494
CV,1605030070894187198
SN,1604300040844101938
HPM,1604300010874152122
SN,1604290120764109443
HPM,1604290090724146073
SN,1604290040744122717
SN,1604281520544131783
SN,1604281520464123115
HPM,1604271400614126166
HPM,1604271210744131444
AGN,1604271210714110765
SN,1604271210704117810
SN,1604271180734110639
SN,1604261040724116384
SN,1604260070654121884
SN,1604251070584119711
HPM,1604191400754124977
Unknown,1604191400724134203
CV?,1604191010484130973
HPM,1604190210804167538
HPM,1604190070904103478
HPM,1604181570484127970
SN,1604181570314131003
HPM,1604181570284122757
HPM,1604171380614134615
SN,1604171120724134433
SN,1604161490574103760
HPM,1604161490554110636
SN,1604161460564112459
HPM,1604161010874153388
SN?,1604161010874147436
Flare,1604151230814108369
Flare,1604151230724114153
SN,1604151090824116680
SN,1604141010574127662
CV,1604140120834153479
CV,1604140120664136865
CV,1604131320764126745
SN,1604131090554109962
SN?,1604131010704131786
CV,1604061320844170620
SN,1604061090714114040
HPM,1604061040774129136
HPM,1604051660324123180
CV,1604051520574102432
HPM,1604051350384130367
HPM,1604051150914112284
SN,1604040210554141495
CV,1604040210544139228
AGN,1604031460534124173
SN,1604031400594114169
SN,1604031350664126042
AGN,1604021350614118034
SN,1604021150544141940
Unknown,1604020180714124126
SN,1604011380344147227
CV?,1604011210694104804
Unknown,1604011090734132573
Unknown,1603311350524112484
SN,1603311320534109674
SN,1603311320504111122
Unknown,1603311320204178887
HPM,1603310090794153071
Unknown,1603301320414114599
HPM,1603301260394130171
SN,1603291290524125275
HPM,1603280070624135011
SN,1603271320724123272
SN,1603271180634114884
HPM,1603271150674120069
HPM,1603270150644120769
Blazar,1603201600484115776
CV,1603201010864151734
HPM,1603200040844105787
HPM,1603191380714101951
HPM,1603190150654113493
HPM,1603181320614102311
CV,1603180040654138685
CV,1603171180824123493
HPM,1603161630334112814
CV,1603161630334107927
HPM,1603161520434141994
HPM,1603161490464143492
SN,1603161490444134485
HPM,1603161460424106403
CV,1603151210684110893
AGN,1603151090484137970
SN,1603141150754129427
Unknown,1603141070704109853
AGN,1603140040614113414
CV,1603131600154133096
SN,1603131120614106104
HPM,1603121630374120446
AGN,1603121290524117032
HPM,1603121210494130420
SN,1603111320704111052
SN,1603111040574114050
CV,1603110120534113893
Unknown,1603110090674106518
CV,1603110090554101520
HPM,1603100150794110820
HPM,1603100150784129490
SN,1603071260674122066
SN,1603071010644129337
SN,1603070120604102400
SN,1603070040684126687
CV,1603041350194140083
SN,1603031400324131366
Blazar,1603031350664116271
SN,1603021180774128931
SN,1603021180764104503
AGN,1603021150794107140
HPM,1603021150764141416
HPM,1603021120804134905
Unknown,1603021070304118618
SN,1603021070274145695
Unknown,1603021040794141258
HPM,1603020210754148908
HPM,1603020180764137922
HPM,1603020120734106439
Unknown,1603010150504131829
HPM,1603010150504117042
HPM,1602281320604131523
HPM,1602271600254113139
AGN,1602271320384111174
SN,1602271290594104414
HPM,1602271260594119905
SN,1602271260554117464
SN,1602271230374166444
Flare,1602271120454112778
Flare,1602261600384105213
CV,1602261380334117968
CV,1602261180194144796
HPM,1602171490334121172
HPM,1602171400394125857
SN,1602170070784110332
Unknown,1602160090764120157
SN,1602160090724131084
SN,1602160040674118314
SN,1602151230674106724
CV,1602150150534145601
HPM,1602150120574143556
SN?,1602150120574130215
HPM,1602150090574134372
Blazar,1602150070504136052
AGN,1602150040614118878
HPM,1602150010564104285
HPM,1602141460594110549
HPM,1602141350544114755
HPM,1602141040304104382
SN?,1602131350514123915
SN,1602131260664141720
HPM,1602131040744110975
SN,1602131010704111889
HPM,1602121460504144313
HPM,1602121380574132149
Blazar,1602121210624125015
SN,1602121150694122759
AGN,1602121090424155510
AGN,1602101380374108184
SN,1602091150104242288
AGN?,1602091120114221491
Flare,1602081400644119204
Blazar,1602081380464137568
CV,1602081350174106153
SN,1602081210714111647
HPM,1602071600404106933
HPM,1602071460534108796
HPM,1602071460524126217
SN,1602071290654125053
SN,1602071210064115895
SN?,1602071090624132245
SN,1602071090604104230
HPM,1602071040684113882
SN,1602071010694101813
SN,1602061430554132174
SN,1602051320514127213
SN,1602051290494134565
SN,1602051230764130518
AGN,1602051180804123037
HPM,1602051180794141598
HPM,1602051070764123271
HPM,1602051070734101526
HPM,1602051040734113371
SN,1602041320674113252
SN,1602041320084151214
SN,1602041120714113494
SN,1602041090724138309
SN,1602041010494128216
Flare,1602041010244111887
SN,1602031460354120252
SN,1602031350404123359
HPM,1602031180674132422
SN,1602031120694124466
SN?,1602030070684137340
Flare,1601311460284115377
AGN,1601311150634130122
SN,1601311150624119889
SN,1601311090594130119
HPM,1601311040644129857
HPM,1601311040054132036
HPM,1601310040634120800
CV,1601301520374108143
HPM,1601301490384135528
Flare,1601301320504111899
SN?,1601301260674125463
HPM,1601291350614112176
SN,1601291090414175844
HPM,1601281400514126550
AGN,1601281400444102455
CV,1601211180424141819
SN,1601201070664105300
SN,1601201040524122807
HPM,1601200090724142448
HPM,1601191120624138087
HPM,1601181430084106987
SN?,1601181260664126944
SN,1601181260644126337
Flare,1601181260624117340
SN,1601181230034135511
SN?,1601181180664109705
AGN,1601171490444219024
SN,1601161400534106599
SN,1601161400514136439
SN,1601161320594123820
HPM,1601161290594108371
CV,1601161090414163632
CV,1601161010494101477
Flare,1601151600184152598
HPM,1601151430464122188
SN,1601151320564126334
SN,1601141550254119623
Blazar,1601141520324115434
SN?,1601141430294148272
HPM,1601141230584135794
Flare,1601141230244111973
SN,1601131260384143315
CV,1601131070204113092
HPM,1601131040504110352
SN,1601121320514112308
HPM,1601121320214105229
Blazar,1601121290524101185
SN,1601121290144125481
SN,1601121290024142419
HPM,1601121260564107405
HPM,1601041290244191303
SN,1601031120634129910
CV,1601030090334163193
SN,1601030010054108698
CV,1601021380144110066
SN?,1601021230084124148
SN,1601021150494122058
AGN,1601021150024109668
HPM,1512311380194174027
SN,1512301120254121839
Flare,1512301070284113825
Nova?,1512291400034104339
HPM,1512211600244103961
HPM,1512211260554122602
SN,1512191380454128196
CV,1512171400184214266
SN,1512171260054118102
AGN?,1512171150464121370
SN,1512161320334177372
Unknown,1512161291054143937
Flare,1512161181174138560
AGN,1512161180254136858
SN,1512161010264114830
SN,1512111350144153125
HPM,1512101460364121059
SN,1512101350424104927
SN,1512101180614122594
SN,1512091151214142650
HPM,1512090071224122713
CV,1512081430094139827
HPM,1512081380084127156
HPM,1512081380074130819
HPM,1512081350114119157
CV,1512081320174144890
Flare,1512081320104112890
Blazar,1512061260384150348
Flare,1512061120464134253
Unknown,1512061090434120952
HPM,1512061010564110200
SN,1512060210194115642
HPM,1512060071094174860
CV,1512060070464171296
HPM,1512051260464106558
SN,1512051010064104562
SN,1512050010064119041
HPM,1512041400464122458
CV,1512041400174114620
CV,1512031570294134673
SN,1512031520274124906
HPM,1512031430414122287
HPM,1512031400434116393
HPM,1512031400384108911
AGN,1512031120014116775
HPM,1512021520374108315
SN,1512021520354114602
SN,1512021490394107338
AGN,1512021460374112390
Unknown,1512020150014110836
Unknown,1512020120214117598
SN,1512020090094130838
CV,1512011120274154794
SN,1512011120114134829
SN?,1512011090064125400
CV,1511301320184101718
SN,1511301320064125325
CV,1511301290014130643
SN,1511301260224152188
SN,1511301260094129432
AGN,1511231520324124767
SN,1511231071204114664
SN,1511221430704132498
Unknown,1511221400284144943
HPM,1511221380304114474
CV,1511221210264184833
Unknown,1511220230184109521
HPM,1511220040314104217
SN?,1511211121134117165
HPM,1511211040594102791
CV,1511201320364108282
HPM,1511201210584125251
HPM,1511201210584102998
SN?,1511200180264109911
SN,1511200180254111081
SN,1511191460444107802
HPM,1511191320504138238
HPM,1511191320504117825
SN,1511191320014127170
Unknown,1511191290524109343
HPM,1511191290514126351
HPM,1511191290014117518
AGN,1511190090264135161
HPM,1511190090254143397
HPM,1511190070504122908
HPM,1511190070484109286
SN,1511181290504123949
CV,1511181210214142399
CV,1511181210214106367
Flare,1511181120024103505
Flare,1511181010534127137
CV,1511141380984140530
Flare,1511141320394124088
AGN,1511141010114127759
Flare,1511140010094131284
SN,1511131400444105430
Unknown,1511131320044130866
Flare,1511131041244117160
CV,1511121520244101103
Flare,1511121090044121320
SN,1511111121164114326
Unknown,1511110151144140679
HPM,1511110151134121938
HPM,1511101520324139627
AGN,1511101520324127922
CV,1511101460694162679
HPM,1511101380784124463
SN,1511101121254113706
CV,1511101011154159039
SN,1511091120504129691
SN,1511091090014127873
SN,1511091070554135380
SN,1511090150184104648
SN?,1511090091174129820
Flare,1511081600284115570
HPM,1511081570324139313
AGN,1511081570324114520
SN,1511081490364135896
Blazar,1511081150254112077
CV,1511081091134116710
CV,1511080070094101285
Flare,1511080041164145146
SN,1511071400024170741
Blazar?,1511071320054118985
CV,1511071010304145004
CV,1511061520254101604
YSO,1511061350204155762
HPM,1511061180454125273
SN,1511061150074105038
HPM,1511061090094122268
HPM,1511061040324186742
HPM,1511031600254127101
Blazar,1511031550244117096
CV,1511031321044123586
CV,1511031091204130213
SN,1511031090024106077
AGN,1511021180544114352
Unknown,1511021041274103371
SN,1511020211034182700
HPM,1511020121254140718
HPM,1511020121104101882
Unknown,1511020120234120074
SN,1511020070124103073
Blazar,1511020070074126189
SN,1511011290104121578
SN,1510311120124112847
SN,1510311090584116172
HPM,1510311090534120235
CV,1510241350804122175
HPM,1510241350164103808
CV,1510231320064127935
AGN,1510231180164117087
SN,1510161150164123038
SN,1510151010104109581
Ast?,1510150121234125444
Flare,1510150121234115538
Ast?,1510150071264127112
Unknown,1510140260074126714
Unknown,1510140230094136606
Ast?,1510140151054177330
SN,1510140070074102573
SN?,1510131600474137325
HPM,1510131570504112908
CV,1510130260134113719
CV,1510130230214106853
HPM_GJ3329,1510130180274145050
LPV,1510121400034160762
SN,1510121290424116485
HPM,1510121260384121585
CV,1510121151134138332
HPM,1510120210054117927
Unknown,1510120180064127414
HPM,1510120180064121023
Unknown,1510120120194129076
HPM,1510120090274117899
Unknown,1510120090194111534
HPM,1510110121254118264
SN,1510101040114130731
SN?,1510100091214116482
Flare,1510091151184109040
AGN,1510090090084228144
AGN,1510090040084109400
Unknown,1510081210174109923
SN,1510081150024124861
SN,1510081120074130987
SN,1510081040044116588
SN,1510031150094132222
CV,1510031071144131261
HPM,1510031040184124629
HPM,1510031040114109077
HPM,1510030040164121451
HPM,1510030010194113149
CV,1510020090064116298
SN,1510020070114111453
HPM,1510020011214125396
HPM,1510011490274103763
SN/CV,1510011490234104859
HPM,1510011321074114528
HPM,1510011291114145021
HPM,1510011291114106614
SN,1510011150034109982
HPM,1509300121224131524
SN?,1509300091164104266
HPM,1509300091154110377
Unknown,1509251400074138796
HPM,1509251380044123120
CV,1509251350694128317
HPM,1509251350054106180
HPM,1509251320054122863
HPM,1509251290084131870
HPM,1509251150154138755
HPM,1509250040154107945
HPM,1509241230074129421
HPM,1509241230054123762
CV,1509241210044132631
AGN,1509241180104136945
SN,1509241150104120201
SN,1509241120054107813
HPM,1509241090094114461
HPM,1509241040034112180
SN,1509240010114102181
HPM,1509201320024142849
SN,1509201291104113383
SN,1509201260044135327
SN,1509201180144139355
HPM,1509201180144113784
Unknown,1509201180104125296
SN,1509201180104113904
SN?,1509201180094111031
HPM,1509201150104137496
HPM,1509200090024140166
HPM,1509181180174134302
SN,1509181180054119923
HPM,1509181180044124130
HPM,1509181120094101366
AGN,1509181070024115810
SN,1509181010044129523
SN,1509180091264144345
HPM,1509180071244134922
SN,1509180010024126703
SN,1509171011264130151
HPM,1509170011264107027
SN,1509131070124107077
SN,1509130040094113753
SN,1509130010094135118
Unknown,1509130010054130559
CV,1508221211184147541
SN,1508221181194138981
SN,1508201091164138827
HPM,1508200181214114905
HPM,1508200121214134816
CV/SN,1507081320794158625
CV,1507080091104135961
AGN,1506291321054121889
SN?,1506291040044117468
SN,1506231290804130128
SN,1506221350674115985
SN,1506191320734104934
HPM,1506191071194103098
CV,1506191071154157771
SN,1506191070674128595
CV,1506191041214138198
SN,1506190090764133305
HPM,1506190040764134613
Comet,1506190011154155429
HPM,1506180040674111242
SN,1506170041134138454
Unknown,1506161230654125376
SN?,1506161091144175757
SN,1506151290624128920
HPM,1506141400674125377
SN,1506141350644109392
CV,1506141260704124597
SN,1506141230714128855
SN,1506131090754102244
SN,1506130071214102983
SN,1506121290744104741
CV,1506121070784143564
HPM,1506121010844147165
HPM,1506111180794140556
SN?,1506070210784120088
CV,1506061380734150294
HPM,1505281520384130433
SN,1505271400564103869
CV,1505250121094130631
SN,1505241181204125963
Flare,1505241120834142545
SN?,1505240120634111501
CV/SN,1505231600434139540
SN,1505221460624119707
SN,1505221380784149636
SN,1505211380684110206
SN?,1505211320724122058
Unknown,1505211290864143446
HPM,1505211290554107223
SN,1505211260634136234
SN?,1505211260604105832
SN,1505211260594119991
SN,1505211230804125060
SN,1505201090724107181
AGN,1505201070594102990
CV,1505201041144118399
HPM,1505191290654130752
SN,1505191070764129348
CV,1505190011184112353
Blazar,1505181090864106381
SN,1505180120724135023
Unclear,1505180010754137602
QSO,1505131120774133909
CV,1505131041124105681
SN,1505121460494109093
AGN,1505121350644125481
Blazar,1505121320494128233
CV,1505121260874153480
Flare,1505121180464109343
CV,1505121150454142947
CV/SN,1505121070914175447
CV,1505111460694112418
SN,1505111400524111380
HPM,1505111320544122430
CV,1505111290574126128
SN?,1505111040634131635
HPM,1505101210624122098
SN,1505101210604118502
SN,1505101150814113637
SN,1505101120564109481
HPM,1505090210804257850
SN,1505071290784123739
HPM,1505071180764136452
HPM,1505011380424120896
Flare,1505011120834122816
HPM,1504301520404124884
HPM,1504301180764122286
HPM,1504301150804137032
SN,1504301070854120080
HPM,1504291690384116269
AGN,1504291690274115660
HPM,1504291690214116397
CV,1504291660384101585
HPM,1504291630374126225
Blazar,1504280070814128871
SN,1504271400714111420
HPM,1504271350534130346
HPM,1504271260804134171
AGN,1504270070764122223
AGN,1504241150604117893
SN,1504231380594131958
SN,1504231350594112775
Flare,1504230070584101458
HPM,1504230010894142407
Unknown,1504221230864119491
HPM,1504221180774117091
SN,1504211400474130711
HPM,1504211380654124961
SN,1504211350774159302
SN,1504211350764153564
HPM,1504211350674136634
SN,1504181290474134621
SN,1504181290454131560
AGN,1504181260634134412
AGN,1504181260554131698
HPM,1504181230684113949
SN,1504181230554106868
Unknown,1504161400624140145
CV,1504161260854172732
CV,1504161180434114469
Flare,1504161150534121066
AGN,1504151380734147915
SN,1504151350724111330
AGN,1504151350404127704
CV,1504151320414103256
SN,1504151230704129228
HPM,1504151210734110018
CV,1504140230764123223
HPM,1504140210754152478
SN,1504131460544121854
SN,1504131460454108515
SN?,1504131430554129124
SN,1504131380564121920
HPM,1504131090894153902
Flare,1504110210664140176
HPM,1504110120714124301
Blazar,1504101400574114565
SN,1504101290614113332
SN,1504101290554127297
SN,1504101260574130192
HPM,1504101070754128268
SN,1504091230714131557
Unknown,1504091210684122111
HPM,1504091210664127266
HPM,1504091180714126074
HPM,1504091040684126844
SN,1504011520344110166
HPM,1504011460534132127
SN,1504011460514114807
AGN,1504011150754113788
HPM,1504011040864145999
SN,1503291290214141843
YSO,1503291260234109459
SN,1503291090674127867
AGN,1503281290714118388
SN,1503281260714134487
HPM,1503281210644113589
SN,1503281040644128673
HPM,1503280180504138766
SN,1503280070624118943
SN?,1503271150544136079
Flare,1503271010804119874
AGN,1503261520544137087
Unknown,1503261490484103204
SN,1503261290654104534
CV,1503260090504104639
SN,1503260010824122272
SN,1503251570414137179
SN,1503251520484113874
SN,1503251040824135639
HPM,1503251010844136382
SN,1503251010814124143
AGN,1503250120724117438
SN,1503241380714150261
SN,1503241380554114188
SN,1503241350724118474
SN,1503241350564101636
HPM,1503241290494132275
SN,1503241290474137204
AGN,1503241230794109900
CV,1503230180614132638
SN,1503230150604103470
SN,1503221320564118022
SN?,1503211230534111264
SN,1503211010754116328
HPM,1503211010654104157
HPM,1503210150814172330
HPM,1503210090814126112
HPM,1503201460494127323
SN,1503201430554119781
SN,1503201290744101883
SN,1503201120634113836
SN?,1503171320604116588
SN,1503170230654148655
LPV,1503161230274181022
CV,1503161210264180444
YSO,1503161180234136965
HPM,1503161040864152472
CV,1503160260624130579
HPM,1503151570314128100
SN,1503151320704137608
HPM,1503151260764128633
HPM,1503151210574109731
HPM,1503151180584104061
SN,1503141550364106363
HPM,1503141460484104225
AGN,1503141380554117643
HPM,1503141380554106524
Unknown,1503141350424116878
Unknown,1503141290404131228
SN,1503141150704117834
AGN,1503131380534110321
SN,1503131320484105190
AGN,1503131150694104786
HPM,1503130150734146340
SN,1503130120754134584
SN,1503130040754113282
SN,1503130010784109291
CV,1503111210134119243
AGN,1503111070494137198
HPM,1503101090434158909
Unknown,1503091260244108079
SN,1503091230384129067
HPM,1503091210244133268
SN,1502271350474110786
Blazar,1502270150764128145
SN,1502261070614131896
HPM,1502261070524137154
CV,1502260010534127629
Flare,1502251150564130121
Unknown,1502251150544110415
CV,1502221210424111277
SN,1502221180434114096
SN?,1502211260744124081
HPM,1502211180764101087
SN,1502211010564118772
SN,1502201430364130531
HPM,1502201230684114159
HPM,1502201230664120626
HPM,1502201210674137261
Flare,1502201150294133973
HPM,1502201150154133983
Unknown,1502191400464115387
HPM,1502191350554117280
SN,1502191320584102187
HPM,1502191290694118103
SN,1502191290484102549
SN,1502191260564107063
Flare,1502180150694102882
SN,1502180150614107822
CV,1502180070684144213
Flare,1502180070514111915
SN,1502141320484142254
Blazar,1502141230734143607
SN,1502141180734110155
CV,1502140120774137712
HPM,1502140070764121999
AGN,1502131490314127926
SN,1502131460384105329
HPM,1502131070794125719
SN?,1502130040734108170
HPM,1502121660244104917
HPM,1502121630264101436
Unknown,1502121180464127206
Unknown,1502120010314116638
SN/CV,1502111550244156972
CV,1502110210474165610
HPM,1502110150554135231
Unknown,1502101260684138391
CV,1502101260114122698
Unknown,1502101090604137169
SN,1502100070484107250
Flare,1502100040574140555
HPM,1502091400664141554
CV,1502091400284150550
HPM,1502091380574127334
SN,1502091350624122194
Unknown,1502081460594103499
HPM,1502081460564118330
HPM,1502081460544131909
Blazar,1502081400484121702
CV,1502081290374141264
AGN,1502081210164117530
HPM,1502071520434133788
SN,1502071520284106252
CV,1502071490284143743
HPM,1502071400394138931
HPM,1502071150154145908
SN,1501281180794101811
Flare,1501241350174146999
SN,1501241180614140311
SN,1501241120674102252
SN,1501241090754108157
SN,1501241090734115999
CV,1501241090424118194
HPM,1501241040734114795
CV,1501241010294121745
Flare,1501231570254138714
SN,1501231520354128154
AGN,1501231460444109882
AGN,1501231430394108818
SN,1501231400524112601
SN,1501231400524105153
Flare,1501231320554114742
AGN,1501231010774118119
SN,1501231010164113549
AGN,1501221460334127130
HPM,1501221320424134432
SN?,1501221260514115249
SN,1501220040084117093
SN,1501220010084117203
SN,1501201400424126451
SN,1501201400304154236
SN,1501201380514117276
SN,1501201380484131886
SN,1501201380444130556
SN,1501200150294101341
SN,1501200070144111400
HPM,1501191350404113325
HPM,1501191350364120603
SN,1501191040704118187
HPM,1501181520434104073
CV,1501181380214168280
SN,1501181350604111330
SN,1501181350474132349
HPM,1501181350134110006
Blazar,1501181320604119409
SN?,1501181320604117046
SN,1501181320584134322
HPM,1501181230684115146
HPM,1501181230634111414
SN,1501181210144102039
SN,1501181090144128387
SN,1501180090594116708
Flare,1501180090214122954
AGN,1501171090614108171
AGN,1501171040674113697
SN,1501170010584116103
LPV,1412301211134147029
Blazar,1412301120594110654
Flare,1412301120574130875
AGN,1412301040654135134
AGN,1412301010694113096
CV,1412300210244119730
HPM,1412300040724128804
CV,1412291380204110930
SN?,1412291150404157125
SN?,1412290150304121599
AGN,1412281260444108054
SN,1412280070254105559
SN,1412271230154110166
SN,1412270090724102435
SN,1412241380154136152
CV,1412241290144114447
AGN,1412241230534106596
HPM,1412241180114121748
SN,1412241120104139934
Flare,1412241090634108769
SN,1412241070674140477
SN,1412231400334143673
CV?,1412231350314135432
SN,1412231320394136108
SN/Ast,1412231210524126949
SN,1412231180504139152
SN,1412231150564209168
SN,1412231010624110017
Blazar,1412231010584107248
Blazar,1412230040664120721
SN,1412230010664130729
CV,1412211210394134169
AGN,1412151400324112534
SN,1412151380384100960
HPM,1412151350344113791
CV?,1412151290364122831
SN?,1412151260584131575
SN,1412151260534114603
SN?,1412121040074128033
HPM,1412121040054132778
SN,1412120071244109694
CV,1412111400184161153
SN,1412111210114116386
Unknown,1412101150244143796
Unknown,1412101010304117378
SN?,1412011400484106488
Unknown,1412011261074108194
CV,1411301600184148530
HPM,1411301430054161130
SN,1411301350394111255
SN,1411301070654118078
CV,1411300180304136080
SN,1411300010534117802
SN,1411291550264147832
AGN,1411291380464115470
Ast?,1411291040134134038
Ast?,1411290210084128395
SN,1411290010684114831
AGN,1411281600284126711
SN,1411280150194118558
AGN,1411271290384124451
SN,1411271210534133428
AGN,1411271070534115143
SN,1411261090534103420
CV,1411260211134110150
AGN,1411251150194108707
AGN,1411241400454118491
AGN,1411241350134109175
Flare,1411241150454102720
Flare,1411241070504108564
Blazar,1411240210214124838
AGN,1411240041264114071
SN,1411240011234121918
SN,1411240011194124956
SN,1411231520314123930
HPM,1411231350454114598
CV,1411231261124154423
HPM,1411221381014149577
CV?,1411220260264133920
Unknown,1411220230124127398
Unknown,1411220150074108405
SN,1411211520224177165
SN/CV,1411211400094155707
HPM,1411201380194117780
SN,1411201210554123334
AGN,1411201090614109024
HPM,1411201070614108345
YSO,1411201010314119347
SN,1411200090054111124
YSO,1411200070304135867
YSO,1411200070304110092
HPM,1411200040324146816
CV?,1411191231174147772
SN,1411181490344143272
AGN,1411180150104107054
CV,1411180090094108372
SN,1411180010094115839
Nova,1411171320084101121
CV,1411171260164123577
SN,1411171260124140249
Mira,1411171180294146420
SN,1411171090504112201
SN,1411171070154141503
SN,1411171010174105538
HPM,1411171010164128066
Ast?,1411170041234128987
CV,1411161400324115580
HPM,1411161380764123458
SN,1411160151154127662
SN,1411041090204104071
SN?,1411010010104115100
